,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
2629,7.0,0.17,0.74,12.8,0.045,24.0,126.0,0.9942,3.26,0.38
511,10.2,0.29,0.49,2.6,0.059,5.0,13.0,0.9976,3.05,0.74
62,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58
3128,6.0,0.28,0.22,12.15,0.048,42.0,163.0,0.9957,3.2,0.46
4233,7.7,0.38,0.23,10.8,0.03,28.0,95.0,0.99164,2.93,0.41
1361,8.1,0.28,0.4,6.9,0.05,30.0,97.0,0.9951,3.26,0.44
2957,7.4,0.21,0.3,7.9,0.039,14.0,118.0,0.9942,2.96,0.34
122,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82
4262,7.2,0.14,0.32,1.1,0.022,48.0,116.0,0.99218,3.04,0.67
5123,6.0,0.17,0.33,6.0,0.036,30.0,111.0,0.99362,3.32,0.58
4087,6.6,0.17,0.28,1.8,0.042,62.0,178.0,0.99204,3.15,0.42
2554,8.1,0.29,0.49,7.1,0.042,22.0,124.0,0.9944,3.14,0.41
567,8.6,0.47,0.47,2.4,0.074,7.0,29.0,0.9979,3.08,0.46
2591,7.9,0.11,0.49,4.5,0.048,27.0,133.0,0.9946,3.24,0.42
3624,6.7,0.44,0.22,4.3,0.032,19.0,99.0,0.99015,3.26,0.53
864,10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84
3988,6.8,0.21,0.42,1.2,0.045,24.0,126.0,0.99234,3.09,0.87
2705,6.6,0.55,0.01,2.7,0.034,56.0,122.0,0.9906,3.15,0.3
1260,6.8,0.68,0.21,2.1,0.07,9.0,23.0,0.99546,3.38,0.6
2589,6.9,0.34,0.74,11.2,0.069,44.0,150.0,0.9968,3.0,0.81
720,8.8,0.685,0.26,1.6,0.088,16.0,23.0,0.99694,3.32,0.47
3076,6.7,0.31,0.31,4.9,0.031,20.0,151.0,0.9926,3.36,0.82
2304,5.8,0.415,0.13,1.4,0.04,11.0,64.0,0.9922,3.29,0.52
4556,5.7,0.14,0.3,5.4,0.045,26.0,105.0,0.99469,3.32,0.45
602,5.1,0.47,0.02,1.3,0.034,18.0,44.0,0.9921,3.9,0.62
2450,6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.993,3.0,0.87
3794,6.4,0.12,0.3,1.1,0.031,37.0,94.0,0.98986,3.01,0.56
1514,6.8,0.28,0.4,22.0,0.048,48.0,167.0,1.001,2.93,0.5
1717,7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61
5032,5.8,0.28,0.66,9.1,0.039,26.0,159.0,0.9965,3.66,0.55
3927,5.0,0.24,0.21,2.2,0.039,31.0,100.0,0.99098,3.69,0.62
318,12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87
274,7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68
4589,8.0,0.37,0.31,4.7,0.038,3.0,127.0,0.99186,2.9,0.72
5182,6.1,0.27,0.31,3.9,0.034,42.0,137.0,0.99218,3.24,0.46
1231,6.6,0.58,0.02,2.0,0.062,37.0,53.0,0.99374,3.35,0.76
5168,6.9,0.31,0.33,12.7,0.038,33.0,116.0,0.9954,3.04,0.65
4274,7.8,0.15,0.34,1.1,0.035,31.0,93.0,0.99096,3.07,0.72
4194,6.8,0.17,0.34,2.0,0.04,38.0,111.0,0.99,3.24,0.45
5135,4.7,0.335,0.14,1.3,0.036,69.0,168.0,0.99212,3.47,0.46
295,12.5,0.28,0.54,2.3,0.082,12.0,29.0,0.9997,3.11,1.36
4623,7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43
1471,6.6,0.24,0.27,15.8,0.035,46.0,188.0,0.9982,3.24,0.51
298,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75
68,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53
4347,6.1,0.6,0.12,1.8,0.05,11.0,76.0,0.99268,3.42,0.48
1738,6.3,0.23,0.31,1.5,0.022,11.0,82.0,0.9892,3.3,0.4
3666,6.7,0.16,0.37,1.3,0.036,45.0,125.0,0.98964,3.19,0.51
150,7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59
756,7.2,0.6,0.04,2.5,0.076,18.0,88.0,0.99745,3.53,0.55
1477,8.1,0.28,0.39,1.9,0.029,18.0,79.0,0.9923,3.23,0.52
2990,6.0,0.45,0.42,1.1,0.051,61.0,197.0,0.9932,3.02,0.4
4296,6.6,0.17,0.28,1.1,0.034,55.0,108.0,0.98939,3.0,0.52
1755,7.4,0.28,0.36,1.1,0.028,42.0,105.0,0.9893,2.99,0.39
1432,7.1,0.43,0.61,11.8,0.045,54.0,155.0,0.9974,3.11,0.45
376,7.8,0.55,0.35,2.2,0.074,21.0,66.0,0.9974,3.25,0.56
4395,6.6,0.26,0.28,9.4,0.028,13.0,121.0,0.99254,3.17,0.34
859,8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55
4418,6.1,0.17,0.28,2.5,0.028,22.0,98.0,0.99072,3.16,0.37
4812,6.2,0.24,0.27,16.8,0.04,48.0,129.0,0.99691,3.23,0.38
378,12.3,0.39,0.63,2.3,0.091,6.0,18.0,1.0004,3.16,0.49
2615,5.6,0.185,0.49,1.1,0.03,28.0,117.0,0.9918,3.55,0.45
