,quality
2629,8
511,7
62,5
3128,5
4233,6
1361,6
2957,5
122,5
4262,6
5123,7
4087,5
2554,6
567,5
2591,6
3624,7
864,6
3988,6
2705,5
1260,5
2589,5
720,5
3076,7
2304,5
4556,5
602,6
2450,4
3794,6
1514,5
1717,7
5032,5
3927,6
318,5
274,5
4589,5
5182,6
1231,7
5168,6
4274,7
4194,6
5135,5
295,7
4623,7
1471,5
298,6
68,4
4347,4
1738,7
3666,7
150,5
756,5
1477,6
2990,5
4296,7
1755,7
1432,5
376,5
4395,6
859,7
4418,7
4812,6
378,5
2615,6
2580,6
2585,6
4816,6
3477,5
841,5
4537,5
175,7
3574,6
927,8
2609,3
45,5
1096,6
1902,5
4356,7
3861,6
1578,6
3529,7
2497,6
283,7
5278,6
4385,4
1813,6
1891,5
1255,4
1550,5
5019,6
1420,6
4196,5
2025,5
4451,5
3801,8
4195,7
3323,6
4852,6
257,5
5251,7
4337,6
99,5
2673,4
4673,6
3101,5
3796,7
3590,5
3700,6
1918,5
366,6
3817,7
2119,5
4982,6
2883,5
949,6
1397,6
19,5
5025,6
668,6
218,6
4272,6
1973,5
3737,6
3902,5
3139,5
2533,5
777,6
1747,6
1018,5
3481,5
3583,5
1504,4
517,6
4299,6
1672,6
3513,5
1770,6
2321,6
1561,5
3211,6
3123,6
2406,6
1052,4
3070,5
759,6
4224,7
1209,5
214,7
1360,6
2187,6
1293,5
2833,6
3535,5
4880,5
196,6
1323,7
3710,5
4323,6
1056,5
1620,6
887,6
3085,5
3400,5
3679,5
568,5
3428,6
2908,5
5285,6
139,5
1533,4
1149,5
4702,6
3339,5
4791,6
463,5
2647,5
3321,5
4438,5
594,5
2463,5
450,3
3686,6
3525,6
1643,5
1988,6
2339,4
5107,7
3078,5
1174,5
1786,6
451,6
4710,5
3392,5
3322,5
4928,5
2282,6
4984,4
999,6
2225,7
4626,6
192,5
4173,5
4797,6
4902,5
1467,7
4504,4
4714,5
3238,6
3910,6
2242,5
4670,5
3942,6
4949,6
2168,6
3656,5
3375,5
368,7
2723,6
5196,7
3926,5
4210,7
5232,8
191,5
3062,5
108,6
1652,6
2689,4
3074,5
2124,4
3691,5
2031,6
3360,6
3065,6
476,6
1803,6
3866,4
312,7
508,7
166,5
3567,6
4867,5
1024,7
1221,7
1807,5
4951,6
4794,5
5102,6
2555,6
1566,7
4668,7
2173,7
4756,6
1335,6
4841,5
4699,6
4217,7
152,6
4318,6
2877,6
4991,6
2276,7
2754,5
1844,7
2384,6
3250,5
5033,5
5131,7
4159,5
1983,6
31,5
1225,6
937,6
2154,5
752,7
1419,5
309,6
2789,6
1966,5
3547,5
2389,6
495,5
3455,7
205,7
1135,6
4633,5
3816,6
701,6
305,6
1192,7
4203,6
2191,4
1061,5
843,6
3437,5
2561,4
211,5
1340,6
1108,6
4157,6
679,5
4406,6
565,5
2369,7
4065,7
680,6
180,5
3017,5
2351,6
3668,8
4550,5
278,7
1400,5
3119,5
1204,5
4366,7
432,6
289,5
1027,7
535,5
3899,7
1187,6
188,6
2465,6
5172,5
2067,5
706,6
1480,6
270,6
3603,6
4353,6
2445,7
4144,6
111,5
1170,6
1391,6
2476,6
220,6
2114,8
627,4
1485,7
3815,6
2753,6
790,5
2372,7
461,5
4690,5
551,5
1436,5
1454,5
3163,7
198,5
2939,6
5028,6
402,5
3478,7
2420,6
5071,6
3555,4
2083,8
4753,7
650,5
4769,7
708,5
1871,5
4703,6
2153,7
4238,7
1424,7
1216,6
2181,5
5057,6
314,6
4518,4
1427,5
1512,6
4765,4
113,5
960,5
3306,5
5231,7
1114,4
3774,7
5319,6
1995,7
3781,6
2526,7
3883,6
4821,6
4139,5
2170,6
4099,6
4899,6
326,6
604,5
4462,6
3434,5
2929,6
4614,5
1498,6
1569,5
1919,6
1665,6
3248,6
2436,6
5066,6
4056,5
4096,6
2459,6
789,5
3393,5
1580,5
1888,6
871,7
4012,6
3381,5
2992,6
4279,5
73,4
420,5
1788,6
5308,7
3426,6
92,6
4868,6
4211,6
2550,6
3277,5
2654,6
4408,5
494,6
1375,7
3565,7
2484,6
1874,6
1164,5
1539,5
1270,6
2118,4
4749,6
2471,6
2101,6
618,5
4570,4
4236,7
124,5
2094,8
4503,5
3586,6
5311,6
2851,6
3271,6
3879,4
869,5
3084,5
1042,6
4576,7
356,6
1162,5
4214,6
5163,6
2656,5
1593,5
1957,5
5169,6
4419,5
4028,8
4118,6
1592,6
3618,7
3536,5
332,6
2924,6
5091,6
3780,8
1258,4
4838,7
1451,6
2201,5
1116,6
1541,6
4450,6
4037,6
2859,6
2804,5
3712,6
1726,8
445,5
2552,6
2527,6
1413,5
452,5
3355,4
4724,6
3357,6
14,7
2977,5
945,7
247,5
3661,5
360,5
4955,6
2922,5
3887,5
3961,8
1616,6
3606,5
2478,6
3488,6
3967,6
4172,5
5198,6
3964,5
490,6
3898,6
862,6
1006,5
2513,7
1383,7
2834,5
4835,5
2053,9
1362,6
3639,5
506,7
1417,5
3036,6
25,5
5084,6
2254,7
1222,6
2464,6
1113,5
3539,6
4564,5
3892,6
1702,6
4974,5
4871,5
433,6
2337,6
3591,7
3217,6
2366,5
1921,8
4351,5
2860,6
2034,7
3312,6
1102,4
4294,7
2856,6
4716,7
4230,7
156,6
3386,6
194,5
615,5
643,5
3989,5
2063,7
1068,5
2052,6
5055,6
3733,7
3000,5
5318,7
2005,5
330,6
2104,7
3001,5
2487,6
622,5
5230,6
2642,6
3888,5
3296,5
2235,5
3813,7
1720,7
3075,6
755,6
518,6
4305,5
32,6
4311,5
4198,5
2874,6
1157,5
2004,6
744,5
3528,7
3489,6
2728,6
2535,6
103,6
2941,6
783,7
2142,5
2847,5
229,4
857,7
3662,7
1401,5
4643,6
408,6
170,5
540,5
1954,6
5119,6
2619,8
3351,6
613,6
3669,6
2167,6
3908,5
1161,4
2330,5
3651,5
4506,5
3914,7
5306,5
1609,5
4604,6
2893,4
564,5
4500,7
4055,5
4523,7
4561,5
4424,6
3921,6
1732,7
4554,6
5244,6
2620,7
3951,6
1941,5
4693,6
4379,6
3164,5
1815,6
1172,5
5152,6
325,6
1051,6
4577,6
4505,6
3279,7
4861,6
1894,7
1196,6
620,6
1723,5
3270,5
1482,6
1189,6
328,6
648,5
4114,7
897,7
2521,6
1123,6
2850,7
4940,7
2481,7
